age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
49, Private,101320, Assoc-acdm,12.0, Married-civ-spouse,, Wife, White, Female,0,1902,40, United-States
44, Private,236746, Masters,14.0, Divorced, Exec-managerial, Not-in-family, White, Male,10520,0,45, United-States
38, Private,96185, HS-grad,, Divorced,, Unmarried, Black, Female,0,0,32, United-States
38, Self-emp-inc,112847, Prof-school,15.0, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States
42, Self-emp-not-inc,82297, 7th-8th,, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,50, United-States
20, Private,63210, HS-grad,9.0, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, United-States
49, Private,44434, Some-college,10.0, Divorced,, Other-relative, White, Male,0,0,35, United-States
37, Private,138940, 11th,7.0, Married-civ-spouse,, Husband, White, Male,0,0,40, United-States
46, Private,328216, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
36, Self-emp-inc,216711, HS-grad,, Married-civ-spouse,, Husband, White, Male,99999,0,50, ?
23, Private,529223, Bachelors,13.0, Never-married,, Own-child, Black, Male,0,0,10, United-States
18, Private,216284, 11th,, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States
30, Private,151989, Assoc-voc,, Married-civ-spouse,, Wife, White, Female,0,0,40, United-States
30, Private,55291, Bachelors,, Married-civ-spouse,, Husband, White, Male,0,0,40, United-States
43, Private,84661, Assoc-voc,, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States
51, Private,284329, HS-grad,9.0, Widowed,, Unmarried, White, Male,0,0,40, United-States
38, Private,170174, 10th,, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
35, Private,261293, Masters,14.0, Never-married,, Not-in-family, White, Male,0,0,60, United-States
56, State-gov,274111, Masters,14.0, Divorced,, Not-in-family, White, Male,0,1669,40, United-States
45, Private,267967, Bachelors,, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States
